review_id,published_at,author,date,rating,text,pros,cons,review_year,review_month,review_day,text_length,pros_length,cons_length,rating_group
0196c4a9-1341-7b18-906d-f16b7d9cceeb,2025-05-12 16:22:18,Инна К.,2025-05-12,5,Отличный !!!,,,2025,5,12,12,0,0,Positive
0196c491-de01-7567-a7d5-b48b49cd9325,2025-05-12 15:56:56,Евгений Б.,2025-05-12,5,Только распаковал. Думаю удовлетворит мои желания. Хочется новшеств по современной технологии.,,,2025,5,12,94,0,0,Positive
0196c300-bfbe-7151-8de6-c6116fedaf77,2025-05-12 08:38:50,Сергей,2025-05-12,5,Доставка вовремя! Ребёнок остался очень доволен!,,,2025,5,12,48,0,0,Positive
0196c065-62f8-75e2-bdfb-deedd804c3ca,2025-05-11 20:29:54,Никита н.,2025-05-11,5,все в лучшем виде,,,2025,5,11,17,0,0,Positive
0196be6b-7994-7e06-856b-47fab680538d,2025-05-11 11:18:40,Пользователь предпочёл скрыть свои данные,2025-05-11,5,"Ну что сказать- прикольная игрушка. Покупали нашей маме и бабушке подарок на юбилей, остановились на этой станции. Очень хорошая громкость, для нас это был основной критерий, т к мама недослышивает. Колонку слышит отлично, уж не знаю как соседи это выдержат?)) мама разговаривает с ней уважительно))) и Алису не обижает)) на второй день колонка ужи...",,,2025,5,11,351,0,0,Positive
0196bd64-3e49-71ad-a306-edf828c7132d,2025-05-11 06:29:46,Светлана Б.,2025-05-11,5,"подключили ,работает.Внуки рады",,,2025,5,11,31,0,0,Positive
0196bbac-60da-7a7b-9100-ad8b74dda265,2025-05-10 22:29:19,Дмитрий Н.,2025-05-10,5,всё чётко работает!!! рекомендую!!!,,,2025,5,10,35,0,0,Positive
0196baf3-58a8-7ce9-add6-c0bce25e4d3f,2025-05-10 19:07:20,Пользователь предпочёл скрыть свои данные,2025-05-10,5,оценить не могу брали на подарок.,,,2025,5,10,33,0,0,Positive
0196baee-1d5a-7803-80f1-6bfb73d3add4,2025-05-10 19:01:31,Алексей Б.,2025-05-10,5,"очень понравилось, класс, спасибо.",,,2025,5,10,34,0,0,Positive
0196b91a-8bf3-7aac-976c-d3fab5e27f8e,2025-05-10 10:33:08,Даниил Т.,2025-05-10,5,"Отлично работает. Стоит своих денег и обязуется к покупке, если вы планируете «умный дом»",,,2025,5,10,89,0,0,Positive
0196c616-22e3-7dda-b68a-727c16d50720,2025-05-12 23:01:02,Андрей Ш.,2025-05-12,3,"Нормальная колонка , только звук на максимуме все равно не громкий , надо было побольше колонку заказывать",,,2025,5,12,106,0,0,Neutral
0196b6e9-7513-72e4-8ff3-0a2b2cca311b,2025-05-10 00:17:56,Николай С.,2025-05-10,5,"Отличный, бывает переодически теряет связь и сразу восстанавливает. По звуку выше среднего. Для своих задач неплохой аппарат.",,,2025,5,10,125,0,0,Positive
0196b4f4-c786-7736-a49f-f6548ffeae61,2025-05-09 15:11:04,Наталья К.,2025-05-09,5,"Класная штука! Очень компактная, аккуратная. Красивая подсветка, меняется. Очень понравилась в общении)))",,,2025,5,9,105,0,0,Positive
0196b47d-186a-7e7b-bd45-c6778529782f,2025-05-09 13:00:20,Илья,2025-05-09,5,Все нормально,,,2025,5,9,13,0,0,Positive
0196b1a1-aa4b-702c-ba97-a70ffe18815c,2025-05-08 23:41:25,Елена Ш.,2025-05-08,5,"Я безумно рада такой колонке,давно о ней мечтала. Спасибо производителю. Рекомендую",,,2025,5,8,83,0,0,Positive
0196b006-716a-77a6-8dae-1ad2e8899102,2025-05-08 16:12:19,василий г.,2025-05-08,5,ок,,,2025,5,8,2,0,0,Positive
0196af12-4d6f-7209-9933-65617eee6453,2025-05-08 11:45:37,Михаил М.,2025-05-08,4,"Отличная калинка с самыми лучшими голосовым помощником. 30 вт чистого звука с глубоким басом. Яркий вид сенсорной панели управления, динамично меняется в такт музыки. Отлично узнаёт не только хозяина и детей, но и адекватно реагирует на шёпот. С её помощью легко управлять умными устройствами. Если возможность включения режима мультирума, когда все колонки...",,,2025,5,8,360,0,0,Positive
0196abfb-3a2b-7dbc-88b5-a6109fac8f86,2025-05-07 21:21:31,Константин С.,2025-05-07,5,Отличная колонка,,,2025,5,7,16,0,0,Positive
0196ab69-d3d8-7b88-a63d-3d2c4b18023e,2025-05-07 18:42:42,Татьяна,2025-05-07,5,"Все работает, колонка хорошая!",,,2025,5,7,30,0,0,Positive
